step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
85858,182.0,182,,,,,
86016,,,58.63544845581055,-0.9418177008628845,0.5744373202323914,0.014566920697689056,0.09375
86017,159.0,159,,,,,
86193,176.0,176,,,,,
86318,125.0,125,,,,,
86641,323.0,323,,,,,
86794,153.0,153,,,,,
86963,169.0,169,,,,,
87115,152.0,152,,,,,
87268,153.0,153,,,,,
87438,170.0,170,,,,,
87583,145.0,145,,,,,
87725,142.0,142,,,,,
87853,128.0,128,,,,,
88064,,,25.864253997802734,-0.8014955520629883,0.6017469167709351,0.0389120951294899,0.30859375
88171,318.0,318,,,,,
88215,44.0,44,,,,,
88408,193.0,193,,,,,
88646,238.0,238,,,,,
88667,21.0,21,,,,,
88691,24.0,24,,,,,
88748,57.0,57,,,,,
88978,230.0,230,,,,,
88994,16.0,16,,,,,
89044,50.0,50,,,,,
89094,50.0,50,,,,,
89108,14.0,14,,,,,
89182,74.0,74,,,,,
89221,39.0,39,,,,,
89373,152.0,152,,,,,
89433,60.0,60,,,,,
89557,124.0,124,,,,,
89581,24.0,24,,,,,
89752,171.0,171,,,,,
89841,89.0,89,,,,,
89971,130.0,130,,,,,
90020,49.0,49,,,,,
90037,17.0,17,,,,,
90112,,,218.18423461914062,6.9460344314575195,0.45131915807724,0.22082635760307312,0.4765625
90184,147.0,147,,,,,
90412,228.0,228,,,,,
90754,342.0,342,,,,,
91051,297.0,297,,,,,
91302,251.0,251,,,,,
91423,121.0,121,,,,,
91633,210.0,210,,,,,
91819,186.0,186,,,,,
92160,,,8.98314380645752,-2.211076021194458,0.6197850108146667,0.022203192114830017,0.18359375
92180,361.0,361,,,,,
92417,237.0,237,,,,,
92608,191.0,191,,,,,
92743,135.0,135,,,,,
92944,201.0,201,,,,,
93013,69.0,69,,,,,
93251,238.0,238,,,,,
93287,36.0,36,,,,,
93410,123.0,123,,,,,
93753,343.0,343,,,,,
93779,26.0,26,,,,,
93793,14.0,14,,,,,
93873,80.0,80,,,,,
93992,119.0,119,,,,,
94042,50.0,50,,,,,
94196,154.0,154,,,,,
94208,,,80.83489990234375,1.5992422103881836,0.5456463098526001,0.0561237633228302,0.203125
94414,218.0,218,,,,,
94558,144.0,144,,,,,
94720,162.0,162,,,,,
94841,121.0,121,,,,,
95001,160.0,160,,,,,
95077,76.0,76,,,,,
95268,191.0,191,,,,,
95456,188.0,188,,,,,
95643,187.0,187,,,,,
95918,275.0,275,,,,,
96074,156.0,156,,,,,
96191,117.0,117,,,,,
96256,,,20.98670196533203,-0.8678523302078247,0.5986188054084778,0.022898754104971886,0.296875
96384,193.0,193,,,,,
96530,146.0,146,,,,,
96708,178.0,178,,,,,
96900,192.0,192,,,,,
97143,243.0,243,,,,,
97292,149.0,149,,,,,
97391,99.0,99,,,,,
97551,160.0,160,,,,,
97627,76.0,76,,,,,
97669,42.0,42,,,,,
97905,236.0,236,,,,,
98029,124.0,124,,,,,
98288,259.0,259,,,,,
98304,,,63.793033599853516,0.3537268042564392,0.541539192199707,0.04396679997444153,0.2578125
